"","id","organismo","linea_servicio","dia","fecha","afluencia_tarjeta","afluencia_boleto","afluencia_total"
"1",25482,"Ecobici","N/A","Viernes","01-01-2021",NA,NA,2755
"2",25483,"Ecobici","N/A","Sábado","02-01-2021",NA,NA,4607
"3",25484,"Ecobici","N/A","Domingo","03-01-2021",NA,NA,4492
"4",25485,"Ecobici","N/A","Lunes","04-01-2021",NA,NA,7269
"5",25486,"Ecobici","N/A","Martes","05-01-2021",NA,NA,7959
"6",25487,"Ecobici","N/A","Miércoles","06-01-2021",NA,NA,7401
"7",25488,"Ecobici","N/A","Jueves","07-01-2021",NA,NA,7722
"8",25489,"Ecobici","N/A","Viernes","08-01-2021",NA,NA,7976
"9",25490,"Ecobici","N/A","Sábado","09-01-2021",NA,NA,6369
"10",25491,"Ecobici","N/A","Domingo","10-01-2021",NA,NA,5347
"11",25492,"Ecobici","N/A","Lunes","11-01-2021",NA,NA,8190
"12",25493,"Ecobici","N/A","Martes","12-01-2021",NA,NA,8805
"13",25494,"Ecobici","N/A","Miércoles","13-01-2021",NA,NA,8898
"14",25495,"Ecobici","N/A","Jueves","14-01-2021",NA,NA,9171
"15",25496,"Ecobici","N/A","Viernes","15-01-2021",NA,NA,9582
"16",25497,"Ecobici","N/A","Sábado","16-01-2021",NA,NA,6692
"17",25498,"Ecobici","N/A","Domingo","17-01-2021",NA,NA,5209
"18",25499,"Ecobici","N/A","Lunes","18-01-2021",NA,NA,9889
"19",25500,"Ecobici","N/A","Martes","19-01-2021",NA,NA,10079
"20",25501,"Ecobici","N/A","Miércoles","20-01-2021",NA,NA,10209
"21",25502,"Ecobici","N/A","Jueves","21-01-2021",NA,NA,10398
"22",25503,"Ecobici","N/A","Viernes","22-01-2021",NA,NA,10723
"23",25504,"Ecobici","N/A","Sábado","23-01-2021",NA,NA,8376
"24",25505,"Ecobici","N/A","Domingo","24-01-2021",NA,NA,6844
"25",25506,"Ecobici","N/A","Lunes","25-01-2021",NA,NA,10267
"26",25507,"Ecobici","N/A","Martes","26-01-2021",NA,NA,11042
"27",25508,"Ecobici","N/A","Miércoles","27-01-2021",NA,NA,10893
"28",25509,"Ecobici","N/A","Jueves","28-01-2021",NA,NA,10961
"29",25510,"Ecobici","N/A","Viernes","29-01-2021",NA,NA,11581
"30",25511,"Ecobici","N/A","Sábado","30-01-2021",NA,NA,8948
"31",25512,"Ecobici","N/A","Domingo","31-01-2021",NA,NA,7151
"32",25513,"Ecobici","N/A","Lunes","01-02-2021",NA,NA,7519
"33",25514,"Ecobici","N/A","Martes","02-02-2021",NA,NA,10884
"34",25515,"Ecobici","N/A","Miércoles","03-02-2021",NA,NA,11331
"35",25516,"Ecobici","N/A","Jueves","04-02-2021",NA,NA,11184
"36",25517,"Ecobici","N/A","Viernes","05-02-2021",NA,NA,11682
"37",25518,"Ecobici","N/A","Sábado","06-02-2021",NA,NA,9123
"38",25519,"Ecobici","N/A","Domingo","07-02-2021",NA,NA,7180
"39",25520,"Ecobici","N/A","Lunes","08-02-2021",NA,NA,10535
"40",25521,"Ecobici","N/A","Martes","09-02-2021",NA,NA,11418
"41",25522,"Ecobici","N/A","Miércoles","10-02-2021",NA,NA,10233
"42",25523,"Ecobici","N/A","Jueves","11-02-2021",NA,NA,10089
"43",25524,"Ecobici","N/A","Viernes","12-02-2021",NA,NA,11422
"44",25525,"Ecobici","N/A","Sábado","13-02-2021",NA,NA,9045
"45",25526,"Ecobici","N/A","Domingo","14-02-2021",NA,NA,7363
"46",25527,"Ecobici","N/A","Lunes","15-02-2021",NA,NA,10456
"47",25528,"Ecobici","N/A","Martes","16-02-2021",NA,NA,11862
"48",25529,"Ecobici","N/A","Miércoles","17-02-2021",NA,NA,11888
"49",25530,"Ecobici","N/A","Jueves","18-02-2021",NA,NA,11841
"50",25531,"Ecobici","N/A","Viernes","19-02-2021",NA,NA,11728
"51",25532,"Ecobici","N/A","Sábado","20-02-2021",NA,NA,9015
"52",25533,"Ecobici","N/A","Domingo","21-02-2021",NA,NA,7481
"53",25534,"Ecobici","N/A","Lunes","22-02-2021",NA,NA,11055
"54",25535,"Ecobici","N/A","Martes","23-02-2021",NA,NA,NA
"55",16074,"Metrobús","L1","Viernes","01-01-2021",NA,NA,42650
"56",16075,"Metrobús","L2","Viernes","01-01-2021",NA,NA,26201
"57",16076,"Metrobús","L3","Viernes","01-01-2021",NA,NA,20964
"58",16077,"Metrobús","L4","Viernes","01-01-2021",NA,NA,9819
"59",16078,"Metrobús","L5","Viernes","01-01-2021",NA,NA,35599
"60",16079,"Metrobús","L6","Viernes","01-01-2021",NA,NA,29342
"61",16080,"Metrobús","L7","Viernes","01-01-2021",NA,NA,17704
"62",16081,"Metrobús","L1","Sábado","02-01-2021",NA,NA,92590
"63",16082,"Metrobús","L2","Sábado","02-01-2021",NA,NA,51463
"64",16083,"Metrobús","L3","Sábado","02-01-2021",NA,NA,43300
"65",16084,"Metrobús","L4","Sábado","02-01-2021",NA,NA,30124
"66",16085,"Metrobús","L5","Sábado","02-01-2021",NA,NA,66471
"67",16086,"Metrobús","L6","Sábado","02-01-2021",NA,NA,54372
"68",16087,"Metrobús","L7","Sábado","02-01-2021",NA,NA,35910
"69",16088,"Metrobús","L1","Domingo","03-01-2021",NA,NA,70939
"70",16089,"Metrobús","L2","Domingo","03-01-2021",NA,NA,41892
"71",16090,"Metrobús","L3","Domingo","03-01-2021",NA,NA,34583
"72",16091,"Metrobús","L4","Domingo","03-01-2021",NA,NA,19515
"73",16092,"Metrobús","L5","Domingo","03-01-2021",NA,NA,56826
"74",16093,"Metrobús","L6","Domingo","03-01-2021",NA,NA,45062
"75",16094,"Metrobús","L7","Domingo","03-01-2021",NA,NA,25967
"76",16095,"Metrobús","L1","Lunes","04-01-2021",NA,NA,176830
"77",16096,"Metrobús","L2","Lunes","04-01-2021",NA,NA,84719
"78",16097,"Metrobús","L3","Lunes","04-01-2021",NA,NA,72821
"79",16098,"Metrobús","L4","Lunes","04-01-2021",NA,NA,44110
"80",16099,"Metrobús","L5","Lunes","04-01-2021",NA,NA,99623
"81",16100,"Metrobús","L6","Lunes","04-01-2021",NA,NA,91824
"82",16101,"Metrobús","L7","Lunes","04-01-2021",NA,NA,46697
"83",16102,"Metrobús","L1","Martes","05-01-2021",NA,NA,180348
"84",16103,"Metrobús","L2","Martes","05-01-2021",NA,NA,88446
"85",16104,"Metrobús","L3","Martes","05-01-2021",NA,NA,74389
"86",16105,"Metrobús","L4","Martes","05-01-2021",NA,NA,40663
"87",16106,"Metrobús","L5","Martes","05-01-2021",NA,NA,102802
