Estación,Inauguración,Alcaldía,Posición,Correspondencias,Inauguración como Correspondencia
Pantitlán,22 de agosto de 1984,Venustiano Carranza,Subterránea,,22 de agosto de 1984
Zaragoza,4 de septiembre de 1969,Venustiano Carranza,Subterránea,No tiene,No tiene
Gómez Farías,4 de septiembre de 1969,Venustiano Carranza,Subterránea,No tiene,No tiene
Boulevard Puerto Aéreo,4 de septiembre de 1969,Venustiano Carranza,Subterránea,No tiene,No tiene
Balbuena,4 de septiembre de 1969,Venustiano Carranza,Subterránea,No tiene,No tiene
Moctezuma,4 de septiembre de 1969,Venustiano Carranza,Subterránea,No tiene,No tiene
San Lázaro,4 de septiembre de 1969,Venustiano Carranza,Subterránea,,15 de diciembre de 1999
Candelaria,4 de septiembre de 1969,Venustiano Carranza,Subterránea,,29 de agosto de 1981
Merced,4 de septiembre de 1969,Venustiano Carranza,Subterránea,No tiene,No tiene
Pino Suárez,4 de septiembre de 1969,Cuauhtémoc,Subterránea,,1 de agosto de 1970
Isabel la Católica,4 de septiembre de 1969,Cuauhtémoc,Subterránea,No tiene,No tiene
Salto del Agua,4 de septiembre de 1969,Cuauhtémoc,Subterránea,,20 de julio de 1994
Balderas,4 de septiembre de 1969,Cuauhtémoc,Subterránea,,20 de noviembre de 1970
Cuauhtémoc,4 de septiembre de 1969,Cuauhtémoc,Subterránea,No tiene,No tiene
Insurgentes,4 de septiembre de 1969,Cuauhtémoc,Subterránea,No tiene,No tiene
Sevilla,4 de septiembre de 1969,Cuauhtémoc,Subterránea,No tiene,No tiene
Chapultepec,4 de septiembre de 1969,Cuauhtémoc,Subterránea,No tiene,No tiene
Juanacatlán,11 de abril de 1970,Miguel Hidalgo,Subterránea,No tiene,No tiene
Tacubaya,20 de noviembre de 1970,Miguel Hidalgo,Subterránea,,22 de agosto de 1985
Observatorio,10 de junio de 1972,Álvaro Obregón,Superficie,No tiene,No tiene
Cuatro Caminos,22 de agosto de 1984,Naucalpan de Juárez,Subterránea,No tiene,No tiene
Panteones,22 de agosto de 1984,Miguel Hidalgo,Subterránea,No tiene,No tiene
Tacuba,14 de septiembre de 1970,Miguel Hidalgo,Subterránea,,20 de diciembre de 1984
Cuitláhuac,14 de septiembre de 1970,Miguel Hidalgo,Subterránea,No tiene,No tiene
Popotla,14 de septiembre de 1970,Miguel Hidalgo,Subterránea,No tiene,No tiene
Colegio Militar,14 de septiembre de 1970,Miguel Hidalgo,Subterránea,No tiene,No tiene
Normal,14 de septiembre de 1970,Miguel Hidalgo,Subterránea,No tiene,No tiene
San Cosme,14 de septiembre de 1970,Cuauhtémoc,Subterránea,No tiene,No tiene
Revolución,14 de septiembre de 1970,Cuauhtémoc,Subterránea,No tiene,No tiene
Hidalgo,14 de septiembre de 1970,Cuauhtémoc,Subterránea,,20 de noviembre de 1970
Bellas Artes,14 de septiembre de 1970,Cuauhtémoc,Subterránea,,20 de julio de 1994
Allende,14 de septiembre de 1970,Cuauhtémoc,Subterránea,No tiene,No tiene
Zócalo/Tenochtitlan,14 de septiembre de 1970,Cuauhtémoc,Subterránea,No tiene,No tiene
Pino Suárez,1 de agosto de 1970,Cuauhtémoc,Subterránea,,1 de agosto de 1970
San Antonio Abad,1 de agosto de 1970,Cuauhtémoc,Superficie,No tiene,No tiene
Chabacano,1 de agosto de 1970,Cuauhtémoc,Superficie,,26 de agosto de 1987
Viaducto,1 de agosto de 1970,Benito Juárez,Superficie,No tiene,No tiene
Xola,1 de agosto de 1970,Benito Juárez,Superficie,No tiene,No tiene
Villa de Cortés,1 de agosto de 1970,Benito Juárez,Superficie,No tiene,No tiene
Nativitas,1 de agosto de 1970,Benito Juárez,Superficie,No tiene,No tiene
Portales,1 de agosto de 1970,Benito Juárez,Superficie,No tiene,No tiene
Ermita,1 de agosto de 1970,Benito Juárez,Superficie,,30 de octubre de 2012
General Anaya,1 de agosto de 1970,Coyoacán,Superficie,No tiene,No tiene
Tasqueña,1 de agosto de 1970,Coyoacán,Superficie,No tiene,No tiene
Indios Verdes,1 de diciembre de 1979,Gustavo A. Madero,Superficie,No tiene,No tiene
Deportivo 18 de Marzo,1 de diciembre de 1979,Gustavo A. Madero,Superficie,,8 de julio de 1986
Potrero,1 de diciembre de 1979,Gustavo A. Madero,Superficie,No tiene,No tiene
La Raza,1 de diciembre de 1979,Gustavo A. Madero,Subterránea,,1 de julio de 1982
Tlatelolco,20 de noviembre de 1970,Cuauhtémoc,Subterránea,No tiene,No tiene
Guerrero,20 de noviembre de 1970,Cuauhtémoc,Subterránea,,15 de diciembre de 1999
Hidalgo,20 de noviembre de 1970,Cuauhtémoc,Subterránea,,20 de noviembre de 1970
Juárez,20 de noviembre de 1970,Cuauhtémoc,Subterránea,No tiene,No tiene
Balderas,20 de noviembre de 1970,Cuauhtémoc,Subterránea,,20 de noviembre de 1970
Niños Héroes,20 de noviembre de 1970,Cuauhtémoc,Subterránea,No tiene,No tiene
Hospital General,7 de junio de 1980,Cuauhtémoc,Subterránea,No tiene,No tiene
Centro Médico,25 de agosto de 1980,Cuauhtémoc,Subterránea,,26 de agosto de 1987
Etiopía-Plaza de la transparencia,25 de agosto de 1980,Benito Juárez,Subterránea,No tiene,No tiene
Eugenia,25 de agosto de 1980,Benito Juárez,Subterránea,No tiene,No tiene
División del Norte,25 de agosto de 1980,Benito Juárez,Subterránea,No tiene,No tiene
Zapata,25 de agosto de 1980,Benito Juárez,Subterránea,,30 de octubre de 2012
Coyoacán,30 de agosto de 1983,Benito Juárez,Subterránea,No tiene,No tiene
Viveros-Derechos Humanos,30 de agosto de 1983,Coyoacán,Subterránea,No tiene,No tiene
Miguel Ángel de Quevedo,30 de agosto de 1983,Coyoacán,Túnel profundo,No tiene,No tiene
Copilco,30 de agosto de 1983,Coyoacán,Túnel profundo,No tiene,No tiene
Universidad,30 de agosto de 1983,Coyoacán,Superficie,No tiene,No tiene
Martín Carrera,29 de agosto de 1981,Gustavo A. Madero,Superficie,,8 de julio de 1986
Talismán,29 de agosto de 1981,Gustavo A. Madero,Viaducto elevado,No tiene,No tiene
Bondojito,29 de agosto de 1981,Gustavo A. Madero,Viaducto elevado,No tiene,No tiene
Consulado,29 de agosto de 1981,Gustavo A. Madero,Viaducto elevado,,19 de diciembre de 1981
Canal del Norte,29 de agosto de 1981,Venustiano Carranza,Viaducto elevado,No tiene,No tiene
Morelos,29 de agosto de 1981,Venustiano Carranza,Viaducto elevado,,15 de diciembre de 1999
Candelaria,29 de agosto de 1981,Venustiano Carranza,Superficie,,29 de agosto de 1981
Fray Servando,26 de mayo de 1982,Venustiano Carranza,Viaducto elevado,No tiene,No tiene
Jamaica,26 de mayo de 1982,Venustiano Carranza,Viaducto elevado,,26 de agosto de 1987
Santa Anita,26 de mayo de 1982,Iztacalco,Viaducto elevado,,20 de julio de 1994
Pantitlán,19 de diciembre de 1981,Venustiano Carranza,Superficie,,22 de agosto de 1984
Hangares,19 de diciembre de 1981,Venustiano Carranza,Subterránea,No tiene,No tiene
Terminal Aérea,19 de diciembre de 1981,Venustiano Carranza,Subterránea,No tiene,No tiene
Oceanía,19 de diciembre de 1981,Venustiano Carranza,Superficie,,15 de diciembre de 1999
Aragón,19 de diciembre de 1981,Gustavo A. MaderoVenustiano Carranza,Superficie,No tiene,No tiene
Eduardo Molina,19 de diciembre de 1981,Gustavo A. MaderoVenustiano Carranza,Superficie,No tiene,No tiene
Consulado,19 de diciembre de 1981,Gustavo A. MaderoVenustiano Carranza,Superficie,,19 de diciembre de 1981
Valle Gómez,1 de julio de 1982,Gustavo A. MaderoVenustiano Carranza,Subterránea,No tiene,No tiene
Misterios,1 de julio de 1982,Gustavo A. MaderoVenustiano Carranza,Subterránea,No tiene,No tiene
La Raza,1 de julio de 1982,Gustavo A. Madero,Superficie,,1 de julio de 1982
Autobuses del Norte,30 de agosto de 1982,Gustavo A. Madero,Superficie,No tiene,No tiene
Instituto del Petróleo,30 de agosto de 1982,Gustavo A. Madero,Superficie,,21 de diciembre de 1983
Politécnico,30 de agosto de 1982,Gustavo A. Madero,Superficie,No tiene,No tiene
El Rosario,21 de diciembre de 1983,Azcapotzalco,Superficie,,29 de noviembre de 1988
Tezozómoc,21 de diciembre de 1983,Azcapotzalco,Subterránea,No tiene,No tiene
UAM-Azcapotzalco,21 de diciembre de 1983,Azcapotzalco,Subterránea,No tiene,No tiene
Ferrería/Arena Ciudad de México,21 de diciembre de 1983,Azcapotzalco,Subterránea,No tiene,No tiene
Norte 45,21 de diciembre de 1983,Azcapotzalco,Subterránea,No tiene,No tiene
Vallejo,21 de diciembre de 1983,Azcapotzalco,Subterránea,No tiene,No tiene
Instituto del Petróleo,21 de diciembre de 1983,Gustavo A. Madero,Subterránea,,21 de diciembre de 1983
Lindavista,8 de julio de 1986,Gustavo A. Madero,Subterránea,No tiene,No tiene
Deportivo 18 de Marzo,8 de julio de 1986,Gustavo A. Madero,Subterránea,,8 de julio de 1986
La Villa-Basílica,8 de julio de 1986,Gustavo A. Madero,Subterránea,No tiene,No tiene
Martín Carrera,8 de julio de 1986,Gustavo A. Madero,Subterránea,,8 de julio de 1986
El Rosario,29 de noviembre de 1988,Azcapotzalco,Superficie,,29 de noviembre de 1988
Aquiles Serdán,29 de noviembre de 1988,Azcapotzalco,Túnel profundo,No tiene,No tiene
Camarones,29 de noviembre de 1988,Azcapotzalco,Túnel profundo,No tiene,No tiene
Refinería,29 de noviembre de 1988,Azcapotzalco,Túnel profundo,No tiene,No tiene
Tacuba,20 de diciembre de 1984,Miguel Hidalgo,Túnel profundo,,20 de diciembre de 1984
San Joaquín,20 de diciembre de 1984,Miguel Hidalgo,Túnel profundo,No tiene,No tiene
Polanco,20 de diciembre de 1984,Miguel Hidalgo,Túnel profundo,No tiene,No tiene
Auditorio,20 de diciembre de 1984,Miguel Hidalgo,Túnel profundo,No tiene,No tiene
Constituyentes,22 de agosto de 1985,Miguel Hidalgo,Túnel profundo,No tiene,No tiene
Tacubaya,19 de diciembre de 1985,Miguel Hidalgo,Túnel profundo,,22 de agosto de 1985
San Pedro de los Pinos,19 de diciembre de 1985,Benito Juárez,Túnel profundo,No tiene,No tiene
San Antonio,19 de diciembre de 1985,Benito Juárez,Túnel profundo,No tiene,No tiene
Mixcoac,19 de diciembre de 1985,Benito Juárez,Túnel profundo,,30 de octubre de 2012
Barranca del Muerto,19 de diciembre de 1985,Benito Juárez,Túnel profundo,No tiene,No tiene
Garibaldi-Lagunilla,20 de julio de 1994,Cuauhtémoc,Subterránea,,15 de diciembre de 1999
Bellas Artes,20 de julio de 1994,Cuauhtémoc,Subterránea,,20 de julio de 1994
San Juan de Letrán,20 de julio de 1994,Cuauhtémoc,Subterránea,No tiene,No tiene
Salto del Agua,20 de julio de 1994,Cuauhtémoc,Subterránea,,20 de julio de 1994
Doctores,20 de julio de 1994,Cuauhtémoc,Subterránea,No tiene,No tiene
Obrera,20 de julio de 1994,Cuauhtémoc,Subterránea,No tiene,No tiene
Chabacano,20 de julio de 1994,Cuauhtémoc,Subterránea,,20 de julio de 1994
La Viga,20 de julio de 1994,Venustiano Carranza,Subterránea,No tiene,No tiene
Santa Anita,20 de julio de 1994,Iztacalco,Subterránea,,20 de julio de 1994
Coyuya,20 de julio de 1994,Iztacalco,Superficie,No tiene,No tiene
Iztacalco,20 de julio de 1994,Iztacalco,Superficie,No tiene,No tiene
Apatlaco,20 de julio de 1994,Iztapalapa,Superficie,No tiene,No tiene
Aculco,20 de julio de 1994,Iztapalapa,Superficie,No tiene,No tiene
Escuadrón 201,20 de julio de 1994,Iztapalapa,Subterránea,No tiene,No tiene
Atlalilco,20 de julio de 1994,Iztapalapa,Subterránea,,30 de octubre de 2012
Iztapalapa,20 de julio de 1994,Iztapalapa,Subterránea,No tiene,No tiene
Cerro de la Estrella,20 de julio de 1994,Iztapalapa,Subterránea,No tiene,No tiene
UAM-I,20 de julio de 1994,Iztapalapa,Subterránea,No tiene,No tiene
Constitución de 1917,20 de julio de 1994,Iztapalapa,Superficie,No tiene,No tiene
Pantitlán,26 de agosto de 1987,Iztacalco,Viaducto elevado,,26 de agosto de 1987
Puebla,26 de agosto de 1987,Venustiano CarranzaIztacalco,Viaducto elevado,No tiene,No tiene
Ciudad Deportiva,26 de agosto de 1987,Venustiano CarranzaIztacalco,Viaducto elevado,No tiene,No tiene
Velódromo,26 de agosto de 1987,Venustiano Carranza,Viaducto elevado,No tiene,No tiene
Mixiuhca,26 de agosto de 1987,Venustiano Carranza,Subterránea,No tiene,No tiene
Jamaica,26 de agosto de 1987,Venustiano Carranza,Subterránea,,26 de agosto de 1987
Chabacano,26 de agosto de 1987,Cuauhtémoc,Subterránea,,26 de agosto de 1987
Lázaro Cárdenas,26 de agosto de 1987,Cuauhtémoc,Subterránea,No tiene,No tiene
Centro Médico,26 de agosto de 1987,Cuauhtémoc,Subterránea,,26 de agosto de 1987
Chilpancingo,29 de agosto de 1988,Cuauhtémoc,Subterránea,No tiene,No tiene
Patriotismo,29 de agosto de 1988,Cuauhtémoc,Subterránea,No tiene,No tiene
Tacubaya,29 de agosto de 1988,Miguel Hidalgo,Túnel profundo,,29 de agosto de 1988
Pantitlán,12 de agosto de 1991,Iztacalco,Subterránea,,12 de agosto de 1991
Agrícola Oriental,12 de agosto de 1991,Iztacalco,Superficie,No tiene,No tiene
Canal de San Juan,12 de agosto de 1991,Iztacalco,Superficie,No tiene,No tiene
Tepalcates,12 de agosto de 1991,Iztapalapa,Superficie,No tiene,No tiene
Guelatao,12 de agosto de 1991,Iztapalapa,Superficie,No tiene,No tiene
Peñón Viejo,12 de agosto de 1991,Iztapalapa,Superficie,No tiene,No tiene
Acatitla,12 de agosto de 1991,Iztapalapa,Superficie,No tiene,No tiene
Santa Marta,12 de agosto de 1991,Iztapalapa,Superficie,No tiene,No tiene
Los Reyes,12 de agosto de 1991,Los Reyes La Paz,Superficie,No tiene,No tiene
La Paz,12 de agosto de 1991,Los Reyes La Paz,Superficie,No tiene,No tiene
Buenavista,15 de diciembre de 1999,Cuauhtémoc,Subterránea,No tiene,No tiene
Guerrero,15 de diciembre de 1999,Cuauhtémoc,Subterránea,,15 de diciembre de 1999
Garibaldi-Lagunilla,15 de diciembre de 1999,Cuauhtémoc,Subterránea,,15 de diciembre de 1999
Lagunilla,15 de diciembre de 1999,Cuauhtémoc,Subterránea,No tiene,No tiene
Tepito,15 de diciembre de 1999,Cuauhtémoc,Subterránea,No tiene,No tiene
Morelos,15 de diciembre de 1999,Venustiano Carranza,Subterránea,,15 de diciembre de 1999
San Lázaro,15 de diciembre de 1999,Venustiano Carranza,Viaducto elevado,,15 de diciembre de 1999
