,fecha,dia,mes,ano,linea,estacion,afluencia
1,01/01/2021,1,Enero,2021,Linea 1,Pantitlán,8639
2,02/01/2021,2,Enero,2021,Linea 1,Pantitlán,16708
3,03/01/2021,3,Enero,2021,Linea 1,Pantitlán,13348
4,04/01/2021,4,Enero,2021,Linea 1,Pantitlán,27129
5,05/01/2021,5,Enero,2021,Linea 1,Pantitlán,24221
6,06/01/2021,6,Enero,2021,Linea 1,Pantitlán,25533
7,07/01/2021,7,Enero,2021,Linea 1,Pantitlán,24049
8,08/01/2021,8,Enero,2021,Linea 1,Pantitlán,23211
25,25/01/2021,25,Enero,2021,Linea 1,Pantitlán,13065
26,26/01/2021,26,Enero,2021,Linea 1,Pantitlán,15533
27,27/01/2021,27,Enero,2021,Linea 1,Pantitlán,17921
28,28/01/2021,28,Enero,2021,Linea 1,Pantitlán,18642
29,29/01/2021,29,Enero,2021,Linea 1,Pantitlán,19799
30,30/01/2021,30,Enero,2021,Linea 1,Pantitlán,16864
33,02/02/2021,2,Febrero,2021,Linea 1,Pantitlán,19699
34,03/02/2021,3,Febrero,2021,Linea 1,Pantitlán,19934
35,04/02/2021,4,Febrero,2021,Linea 1,Pantitlán,18803
36,05/02/2021,5,Febrero,2021,Linea 1,Pantitlán,23427
37,06/02/2021,6,Febrero,2021,Linea 1,Pantitlán,14374
38,07/02/2021,7,Febrero,2021,Linea 1,Pantitlán,7795
40,09/02/2021,9,Febrero,2021,Linea 1,Pantitlán,23367
41,10/02/2021,10,Febrero,2021,Linea 1,Pantitlán,19944
43,12/02/2021,12,Febrero,2021,Linea 1,Pantitlán,20965
44,13/02/2021,13,Febrero,2021,Linea 1,Pantitlán,21257
45,14/02/2021,14,Febrero,2021,Linea 1,Pantitlán,14861
46,15/02/2021,15,Febrero,2021,Linea 1,Pantitlán,23566
49,18/02/2021,18,Febrero,2021,Linea 1,Pantitlán,24422
50,19/02/2021,19,Febrero,2021,Linea 1,Pantitlán,24716
52,21/02/2021,21,Febrero,2021,Linea 1,Pantitlán,13247
53,22/02/2021,22,Febrero,2021,Linea 1,Pantitlán,26008
