"Estacion","Alcaldia"
"PANTITLAN","VENUSTIANO CARRANZA"
"ZARAGOZA","VENUSTIANO CARRANZA"
"GOMEZ FARIAS","VENUSTIANO CARRANZA"
"BOULEVARD PUERTO AEREO","VENUSTIANO CARRANZA"
"BALBUENA","VENUSTIANO CARRANZA"
"MOCTEZUMA","VENUSTIANO CARRANZA"
"SAN LAZARO","VENUSTIANO CARRANZA"
"CANDELARIA","VENUSTIANO CARRANZA"
"MERCED","VENUSTIANO CARRANZA"
"PINO SUAREZ","CUAUHTEMOC"
"ISABEL LA CATOLICA","CUAUHTEMOC"
"SALTO DEL AGUA","CUAUHTEMOC"
"BALDERAS","CUAUHTEMOC"
"CUAUHTEMOC","CUAUHTEMOC"
"INSURGENTES","CUAUHTEMOC"
"SEVILLA","CUAUHTEMOC"
"CHAPULTEPEC","CUAUHTEMOC"
"JUANACATLAN","MIGUEL HIDALGO"
"TACUBAYA","MIGUEL HIDALGO"
"OBSERVATORIO","ALVARO OBREGON"
"CUATRO CAMINOS","NAUCALPAN DE JUAREZ"
"PANTEONES","MIGUEL HIDALGO"
"TACUBA","MIGUEL HIDALGO"
"CUITLAHUAC","MIGUEL HIDALGO"
"POPOTLA","MIGUEL HIDALGO"
"COLEGIO MILITAR","MIGUEL HIDALGO"
"NORMAL","MIGUEL HIDALGO"
"SAN COSME","CUAUHTEMOC"
"REVOLUCION","CUAUHTEMOC"
"HIDALGO","CUAUHTEMOC"
"BELLAS ARTES","CUAUHTEMOC"
"ALLENDE","CUAUHTEMOC"
"ZOCALO/TENOCHTITLAN","CUAUHTEMOC"
"PINO SUAREZ","CUAUHTEMOC"
"SAN ANTONIO ABAD","CUAUHTEMOC"
"CHABACANO","CUAUHTEMOC"
"VIADUCTO","BENITO JUAREZ"
"XOLA","BENITO JUAREZ"
"VILLA DE CORTES","BENITO JUAREZ"
"NATIVITAS","BENITO JUAREZ"
"PORTALES","BENITO JUAREZ"
"ERMITA","BENITO JUAREZ"
"GENERAL ANAYA","COYOACAN"
"TASQUENA","COYOACAN"
"INDIOS VERDES","GUSTAVO A. MADERO"
"DEPORTIVO 18 DE MARZO","GUSTAVO A. MADERO"
"POTRERO","GUSTAVO A. MADERO"
"LA RAZA","GUSTAVO A. MADERO"
"TLATELOLCO","CUAUHTEMOC"
"GUERRERO","CUAUHTEMOC"
"HIDALGO","CUAUHTEMOC"
"JUAREZ","CUAUHTEMOC"
"BALDERAS","CUAUHTEMOC"
"NINOS HEROES","CUAUHTEMOC"
"HOSPITAL GENERAL","CUAUHTEMOC"
"CENTRO MEDICO","CUAUHTEMOC"
"ETIOPIA-PLAZA DE LA TRANSPARENCIA","BENITO JUAREZ"
"EUGENIA","BENITO JUAREZ"
"DIVISION DEL NORTE","BENITO JUAREZ"
"ZAPATA","BENITO JUAREZ"
"COYOACAN","BENITO JUAREZ"
"VIVEROS-DERECHOS HUMANOS","COYOACAN"
"MIGUEL ANGEL DE QUEVEDO","COYOACAN"
"COPILCO","COYOACAN"
"UNIVERSIDAD","COYOACAN"
"MARTIN CARRERA","GUSTAVO A. MADERO"
"TALISMAN","GUSTAVO A. MADERO"
"BONDOJITO","GUSTAVO A. MADERO"
"CONSULADO","GUSTAVO A. MADERO"
"CANAL DEL NORTE","VENUSTIANO CARRANZA"
"MORELOS","VENUSTIANO CARRANZA"
"CANDELARIA","VENUSTIANO CARRANZA"
"FRAY SERVANDO","VENUSTIANO CARRANZA"
"JAMAICA","VENUSTIANO CARRANZA"
"SANTA ANITA","IZTACALCO"
"PANTITLAN","VENUSTIANO CARRANZA"
"HANGARES","VENUSTIANO CARRANZA"
"TERMINAL AEREA","VENUSTIANO CARRANZA"
"OCEANIA","VENUSTIANO CARRANZA"
